typeId,groupId,typeName,mass,volume,capacity,portionSize,raceId,basePrice,published,marketGroupId,iconId,soundId,graphicId
0,0,"#System",1,0,0,1,"None","None",0,"None","None","None",0
2,2,"Corporation",0,0,0,1,"None","None",0,"None","None","None",0
3,3,"Region",0,1,0,1,"None","None",0,"None","None","None",0
4,4,"Constellation",0,1,0,1,"None","None",0,"None","None","None",0
5,5,"Solar System",0,1,0,1,"None","None",0,"None","None","None",0
6,6,"Sun G5 (Yellow)",1e18,1,0,1,"None","None",0,"None","None","None",21457
7,6,"Sun K7 (Orange)",1e18,1,0,1,"None","None",0,"None","None",20095,21459
8,6,"Sun K5 (Red Giant)",1e18,1,0,1,"None","None",0,"None","None",20097,21462
9,6,"Sun B0 (Blue)",1e18,1,0,1,"None","None",0,"None","None","None",21464
10,6,"Sun F0 (White)",1e18,1,0,1,"None","None",0,"None","None",20098,21466
11,7,"Planet (Temperate)",1e35,1,0,1,"None","None",0,"None",10136,20092,3832
12,7,"Planet (Ice)",1e35,1,0,1,"None","None",0,"None",10137,20087,3834
13,7,"Planet (Gas)",1e35,1,0,1,"None","None",0,"None",10139,20086,3833
14,8,"Moon",1e35,1,0,1,"None","None",0,"None",10141,"None",10
15,9,"Asteroid Belt",1e35,1,0,1,"None","None",0,"None",15,9,0
16,10,"Stargate (Caldari System)",100000000000,10000000,0,1,1,"None",0,"None","None",32,235
17,10,"Stargate (Amarr Constellation)",100000000000,100000000,0,1,4,"None",0,"None","None",32,236
18,458,"Plagioclase",1e35,0.35,0,100,"None",12800.0000,1,516,230,"None",0
19,461,"Spodumain",1e35,16,0,100,4,1149400.0000,1,517,1274,"None",0
20,457,"Kernite",1e35,1.2,0,100,"None",74916.0000,1,523,1270,"None",0
21,454,"Hedbergite",1e35,3,0,100,4,337408.0000,1,527,1269,"None",0
22,450,"Arkonor",1e35,16,0,100,4,3068504.0000,1,512,1277,"None",0
23,12,"Cargo Container",10000,55000,55000,1,"None","None",0,"None",16,"None",1176
24,13,"Ring",1e35,1,0,1,"None","None",0,"None",0,"None",0
25,14,"Corpse Male",80,2,0,1,"None","None",1,"None",398,"None",20373
26,16,"Office Folder",0,1,0,1,"None","None",0,"None","None","None",0
27,16,"Office",0,1,0,1,"None","None",0,"None","None","None",0
28,16,"Factory Folder",0,1,0,1,"None","None",0,"None","None","None",0
29,17,"Credits",0,0,0,57344,"None","None",0,"None",21,"None",0
30,19,"Faction",0,0,0,1,"None","None",0,"None","None","None",0
34,18,"Tritanium",0,0.01,0,1,"None",2.0000,1,1857,22,"None",0
35,18,"Pyerite",0,0.01,0,1,"None",8.0000,1,1857,400,"None",0
36,18,"Mexallon",0,0.01,0,1,"None",32.0000,1,1857,401,"None",0
37,18,"Isogen",0,0.01,0,1,"None",128.0000,1,1857,402,"None",0
38,18,"Nocxium",0,0.01,0,1,"None",512.0000,1,1857,1201,"None",0
39,18,"Zydrine",0,0.01,0,1,"None",2048.0000,1,1857,404,"None",0
40,18,"Megacyte",0,0.01,0,1,"None",8192.0000,1,1857,405,"None",0
41,280,"Garbage",2500,0.25,0,1,"None",20.0000,1,20,1179,"None",0
42,280,"Spiced Wine",500,0.5,0,1,"None",1500.0000,1,492,27,"None",0
43,280,"Antibiotics",5,0.2,0,1,"None",325.0000,1,492,28,"None",0
44,1034,"Enriched Uranium",0,1.5,0,1,"None",5000.0000,1,1335,29,"None",0
45,281,"Frozen Plant Seeds",400,0.5,0,1,"None",75.0000,1,492,1200,"None",0
49,24,"Player Kill",0,0,0,1,"None","None",0,"None","None","None",0
50,24,"Company Shares",0,0,0,1,"None","None",0,"None",2243,"None",0
51,24,"Bookmark",0,0,0,1,"None","None",0,"None",1700,"None",0
52,94,"Trading",0,0,0,1,"None","None",0,"None","None","None",0
53,95,"Trade Session",0,0,0,1,"None","None",0,"None","None","None",0
54,15,"Caldari Logistics Station",0,1,0,1,1,600000.0000,0,"None","None",20162,237
56,15,"Gallente Military Station",0,1,0,1,8,600000.0000,0,"None","None",20164,2307
57,15,"Gallente Station Hub",0,1,0,1,8,600000.0000,0,"None","None",20164,2306
58,15,"C-O-1",0,1,0,1,1,600000.0000,0,"None","None","None",0
59,15,"C-O-2",0,1,0,1,1,600000.0000,0,"None","None","None",0
60,1319,"Asset Safety Wrap",1,1,1,1,"None","None",0,"None",16,"None",1174
164,23,"Clone Grade Alpha",0,1,0,1,"None","None",0,"None",34,"None",0
165,23,"Clone Grade Beta",0,1,0,1,"None",28000.0000,0,"None",34,"None",0
