stationId,security,stationName
60000004,0.708086725,Muvolailen X - Moon 3 - CBD Corporation Storage
60000007,0.794423787,Ono V - Moon 9 - CBD Corporation Storage
60000010,0.807470359,Annaro I - CBD Corporation Storage
60000013,0.794423787,Ono V - Moon 2 - CBD Corporation Storage
60000016,0.830854796,Tasabeshi VIII - Moon 13 - CBD Corporation Storage
60000019,0.830854796,Tasabeshi VI - Moon 1 - CBD Corporation Storage
60000022,0.456754893,Ney X - Moon 15 - CBD Corporation Storage
60000025,0.551779819,Ardene VIII - Moon 5 - CBD Corporation Storage
60000028,0.44809953,Schoorasana VI - Moon 1 - CBD Corporation Storage
60000031,0.44809953,Schoorasana VI - Moon 6 - CBD Corporation Storage
60000034,0.551779819,Ardene VI - Moon 12 - CBD Corporation Storage
60000037,0.456754893,Ney X - Moon 12 - CBD Corporation Storage
60000040,0.779535341,Eiluvodi VI - Moon 14 - CBD Corporation Storage
60000043,0.779535341,Eiluvodi VIII - Moon 2 - CBD Corporation Storage
60000046,0.604577938,Vorsk IV - Moon 1 - CBD Corporation Storage
60000049,0.911898089,Bongveber IX - Moon 10 - CBD Corporation Storage
60000052,0.905099852,Roleinn X - Moon 13 - CBD Corporation Storage
60000055,0.826575873,Freatlidur IX - Moon 15 - CBD Corporation Storage
60000058,0.572819732,Hatori X - Moon 12 - CBD Corporation Storage
60000061,0.474423789,Malpara II - CBD Corporation Storage
60000064,0.572819732,Hatori X - Moon 10 - CBD Corporation Storage
60000067,0.724133926,Ronne I - Moon 1 - CBD Corporation Storage
60000070,0.572819732,Hatori IX - Moon 8 - CBD Corporation Storage
60000073,0.809590822,Junsen V - Moon 20 - CBD Corporation Storage
60000076,0.302146752,Klingt VII - Moon 2 - CBD Corporation Storage
60000079,0.302036212,Weld IV - Moon 14 - CBD Corporation Storage
60000082,0.302146752,Klingt IV - Moon 1 - CBD Corporation Storage
60000085,0.034555197,Egbinger XI - Moon 3 - CBD Corporation Storage
60000088,0.302146752,Klingt V - CBD Corporation Storage
60000091,0.302146752,Klingt IX - Moon 3 - CBD Corporation Storage
60000094,0.709045687,Geffur VIII - Moon 10 - CBD Corporation Storage
60000097,0.581070161,Lumegen V - Moon 2 - CBD Corporation Storage
60000100,0.671349174,Oppold IX - Moon 6 - CBD Corporation Storage
60000103,0.581070161,Lumegen I - CBD Corporation Storage
60000106,0.671349174,Oppold IV - Moon 1 - CBD Corporation Storage
